image_id,split,image_souce_url,label_source_url,tiff_image_path,tif_label_path,png_image_path,png_label_path
10078660_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10078660_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10078660_15.tif,tiff/train/10078660_15.tiff,tiff/train_labels/10078660_15.tif,png/train/10078660_15.png,png/train_labels/10078660_15.png
10078675_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10078675_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10078675_15.tif,tiff/train/10078675_15.tiff,tiff/train_labels/10078675_15.tif,png/train/10078675_15.png,png/train_labels/10078675_15.png
10078690_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10078690_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10078690_15.tif,tiff/train/10078690_15.tiff,tiff/train_labels/10078690_15.tif,png/train/10078690_15.png,png/train_labels/10078690_15.png
10078705_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10078705_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10078705_15.tif,tiff/train/10078705_15.tiff,tiff/train_labels/10078705_15.tif,png/train/10078705_15.png,png/train_labels/10078705_15.png
10078720_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10078720_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10078720_15.tif,tiff/train/10078720_15.tiff,tiff/train_labels/10078720_15.tif,png/train/10078720_15.png,png/train_labels/10078720_15.png
10078735_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10078735_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10078735_15.tif,tiff/train/10078735_15.tiff,tiff/train_labels/10078735_15.tif,png/train/10078735_15.png,png/train_labels/10078735_15.png
10078750_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10078750_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10078750_15.tif,tiff/train/10078750_15.tiff,tiff/train_labels/10078750_15.tif,png/train/10078750_15.png,png/train_labels/10078750_15.png
10228660_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10228660_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10228660_15.tif,tiff/train/10228660_15.tiff,tiff/train_labels/10228660_15.tif,png/train/10228660_15.png,png/train_labels/10228660_15.png
10228675_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10228675_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10228675_15.tif,tiff/train/10228675_15.tiff,tiff/train_labels/10228675_15.tif,png/train/10228675_15.png,png/train_labels/10228675_15.png
10228705_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10228705_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10228705_15.tif,tiff/train/10228705_15.tiff,tiff/train_labels/10228705_15.tif,png/train/10228705_15.png,png/train_labels/10228705_15.png
10228720_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10228720_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10228720_15.tif,tiff/train/10228720_15.tiff,tiff/train_labels/10228720_15.tif,png/train/10228720_15.png,png/train_labels/10228720_15.png
10228735_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10228735_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10228735_15.tif,tiff/train/10228735_15.tiff,tiff/train_labels/10228735_15.tif,png/train/10228735_15.png,png/train_labels/10228735_15.png
10228750_15,train,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/sat/10228750_15.tiff,http://www.cs.toronto.edu/~vmnih/data/mass_roads/train/map/10228750_15.tif,tiff/train/10228750_15.tiff,tiff/train_labels/10228750_15.tif,png/train/10228750_15.png,png/train_labels/10228750_15.png
